CREATE INDEX idx_shopType ON shop(shopType);
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0001', 'S001', 'KL01', 'Ahmad Faizal bin Rashid', '+60123456789', 'Food', 245.50, 'active', TIMESTAMP '2020-03-15 10:12:45', TIMESTAMP '2021-05-20 12:25:10');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0002', 'S001', 'KL02', 'Siti Aishah binti Yusof', '+60198765432', 'Retail', 310.20, 'inactive', TIMESTAMP '2021-07-22 14:40:30', TIMESTAMP '2022-08-11 09:10:50');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0003', 'S002', 'PJ01', 'Tan Wei Kiat', '+60161234567', 'Cafe', 190.75, 'active', TIMESTAMP '2019-12-05 08:55:20', TIMESTAMP '2021-01-16 17:30:05');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0004', 'S003', 'SA01', 'Lim Bee Leng', '+60177654321', 'Pharmacy', 220.00, 'under renovation', TIMESTAMP '2020-05-14 11:35:50', TIMESTAMP '2022-02-28 15:45:30');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0005', 'S004', 'SJ01', 'Ravi a/l Subramaniam', '+60139876543', 'Souvenir', 400.10, 'active', TIMESTAMP '2019-08-22 13:10:25', TIMESTAMP '2020-11-10 10:20:15');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0006', 'S005', 'KN01', 'Nurul Hidayah binti Azman', '+601112345678', 'Bookstore', 350.25, 'inactive', TIMESTAMP '2021-01-18 09:25:40', TIMESTAMP '2023-03-05 16:15:00');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0007', 'S006', 'JB01', 'Chan Kwok Wai', '+60148765432', 'Retail', 275.60, 'active', TIMESTAMP '2020-10-12 12:40:15', TIMESTAMP '2021-07-22 14:05:35');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0008', 'S007', 'ML01', 'Fatimah binti Abdullah', '+60182345678', 'Food', 180.30, 'active', TIMESTAMP '2019-11-30 07:50:20', TIMESTAMP '2020-09-15 18:22:10');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0009', 'S008', 'GT01', 'Wong Chin Yee', '+60121122334', 'Convenience', 295.40, 'under renovation', TIMESTAMP '2021-03-05 10:10:45', TIMESTAMP '2022-06-12 12:30:50');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0010', 'S009', 'IP01', 'Priya d/o Kumar', '+60194455667', 'Cafe', 210.00, 'active', TIMESTAMP '2020-06-22 08:45:30', TIMESTAMP '2021-08-01 17:15:20');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0011', 'S010', 'KT01', 'Zulkifli bin Ibrahim', '+60167788990', 'Retail', 320.50, 'active', TIMESTAMP '2020-01-10 09:12:40', TIMESTAMP '2021-02-14 11:30:10');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0012', 'S011', 'SB01', 'Lee Meng Tuck', '+60171231231', 'Food', 280.75, 'under renovation', TIMESTAMP '2021-05-15 07:25:20', TIMESTAMP '2022-07-18 16:05:30');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0013', 'S012', 'AS01', 'Anis Suraya binti Zainal', '+60132342342', 'Souvenir', 190.60, 'active', TIMESTAMP '2019-09-22 14:50:10', TIMESTAMP '2020-11-20 12:40:25');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0014', 'S013', 'KB01', 'Goh Siew Mei', '+60113453453', 'Bookstore', 310.20, 'inactive', TIMESTAMP '2020-12-12 08:15:30', TIMESTAMP '2022-03-05 09:20:10');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0015', 'S014', 'KT201', 'Jagdeep Singh', '+60144564564', 'Pharmacy', 250.40, 'active', TIMESTAMP '2019-10-05 10:40:25', TIMESTAMP '2020-12-10 15:55:35');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0016', 'S015', 'KK01', 'Mohd Hafiz bin Ramli', '+60185675675', 'Convenience', 270.10, 'inactive', TIMESTAMP '2021-02-18 11:20:15', TIMESTAMP '2022-04-22 12:30:50');
INSERT INTO shop (shopId, stationId, shopNo, shopTenantName, phoneNumber, shopType, shopSize, status, createdAt, updatedAt) VALUES ('SH0017', 'S016', 'SD01', 'Chen Mei Ling', '+60126786786', 'Cafe', 220.60, 'active', TIMESTAMP '2020-07-25 09:35:40', TIMESTAMP '2021-09-10 14:20:25');
