INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000001', 'D0401', NULL, 'B0216', TO_DATE('2025-01-19 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-19 22:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000003', 'D0043', NULL, 'B0166', TO_DATE('2025-02-28 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-28 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000004', 'D0415', 'D0098', 'B0497', TO_DATE('2025-03-19 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-19 19:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000006', 'D0146', NULL, 'B0217', TO_DATE('2025-04-03 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-03 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000007', 'D0030', 'D0279', 'B0209', TO_DATE('2025-04-24 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-24 18:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000010', 'D0464', NULL, 'B0053', TO_DATE('2025-04-16 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-16 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000012', 'D0028', 'D0401', 'B0437', TO_DATE('2025-04-29 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-30 01:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000013', 'D0295', NULL, 'B0225', TO_DATE('2025-03-27 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-27 23:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000014', 'D0024', NULL, 'B0389', TO_DATE('2025-03-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-15 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000016', 'D0413', NULL, 'B0065', TO_DATE('2025-03-10 12:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-10 20:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000023', 'D0070', 'D0441', 'B0109', TO_DATE('2025-04-05 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-05 23:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000025', 'D0266', NULL, 'B0166', TO_DATE('2025-04-21 07:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-21 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000026', 'D0279', NULL, 'B0181', TO_DATE('2025-03-29 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-29 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Holiday service');
