-- Bus Driver
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0001', 'C008', 'DRV510134R', DATE '2027-07-13', 'Joseph', 'Mack', '+60-12-1301016', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0002', 'C014', 'DRV800910I', DATE '2031-03-05', 'Daniel', 'Santana', '+60-15-6061776', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0003', 'C018', 'DRV395319S', DATE '2027-04-16', 'Nicholas', 'Hart', '+60-15-2421835', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0004', 'C003', 'DRV884123V', DATE '2032-06-08', 'Melissa', 'Moore', '+60-18-2152251', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0005', 'C007', 'DRV117023R', DATE '2032-05-17', 'Ann', 'Miles', '+60-12-8188566', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0006', 'C020', 'DRV373306G', DATE '2029-06-04', 'Aaron', 'Graham', '+60-19-3638402', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0007', 'C020', 'DRV967564M', DATE '2028-02-17', 'Natalie', 'Gray', '+60-14-4891373', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0008', 'C010', 'DRV900377N', DATE '2026-10-01', 'Leslie', 'West', '+60-13-6350422', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0009', 'C009', 'DRV588756Z', DATE '2027-05-21', 'Christopher', 'Thomas', '+60-11-2437704', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0010', 'C008', 'DRV412244C', DATE '2026-12-31', 'Kelly', 'Jordan', '+60-10-4381200', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0011', 'C012', 'DRV487841Y', DATE '2034-10-02', 'Joseph', 'Monroe', '+60-17-7878974', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0012', 'C019', 'DRV468389T', DATE '2031-10-30', 'Matthew', 'Solis', '+60-16-7680687', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0013', 'C007', 'DRV680640D', DATE '2030-02-27', 'Lori', 'Fowler', '+60-14-5799707', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0014', 'C011', 'DRV467268P', DATE '2032-01-01', 'Alexander', 'Orozco', '+60-18-7344612', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0015', 'C009', 'DRV694484V', DATE '2035-05-13', 'Ryan', 'Ryan', '+60-12-2003183', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0016', 'C004', 'DRV283606M', DATE '2034-11-28', 'Abigail', 'Barnes', '+60-13-1169597', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0017', 'C013', 'DRV579531R', DATE '2035-04-26', 'Anthony', 'Webster', '+60-12-7650203', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0018', 'C018', 'DRV840474O', DATE '2029-09-22', 'Jessica', 'Miller', '+60-11-8652783', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0019', 'C016', 'DRV490191X', DATE '2034-12-03', 'Dominique', 'Jackson', '+60-14-4161545', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0020', 'C019', 'DRV912973X', DATE '2032-05-15', 'Angela', 'Henson', '+60-13-1191237', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0021', 'C003', 'DRV977293M', DATE '2034-05-30', 'Paul', 'Osborne', '+60-19-5189463', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0022', 'C004', 'DRV131663I', DATE '2026-12-01', 'Jaime', 'Davis', '+60-19-4476455', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0023', 'C019', 'DRV456011Y', DATE '2032-10-27', 'Alexander', 'Bell', '+60-10-6136316', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0024', 'C004', 'DRV522127M', DATE '2030-07-15', 'Richard', 'Mason', '+60-17-3055500', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0025', 'C011', 'DRV870620D', DATE '2027-08-28', 'Danielle', 'Braun', '+60-19-9243653', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0026', 'C003', 'DRV555864Y', DATE '2030-08-11', 'Amy', 'Hooper', '+60-17-8650996', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0027', 'C011', 'DRV769096G', DATE '2029-04-03', 'Victoria', 'Wallace', '+60-14-2225782', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0028', 'C001', 'DRV971116X', DATE '2034-06-27', 'Bradley', 'Taylor', '+60-11-8675733', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0029', 'C019', 'DRV801305Q', DATE '2029-12-04', 'Andrew', 'Lindsey', '+60-11-7446360', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0030', 'C018', 'DRV777470Q', DATE '2031-04-07', 'Stephanie', 'Walters', '+60-14-1785819', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0031', 'C019', 'DRV240781O', DATE '2026-08-24', 'Daniel', 'Brown', '+60-17-2849531', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0032', 'C013', 'DRV986171E', DATE '2032-09-05', 'Jasmine', 'Miller', '+60-15-5263987', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0033', 'C003', 'DRV768667B', DATE '2026-10-14', 'Laura', 'Bennett', '+60-10-4161806', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0034', 'C009', 'DRV443088I', DATE '2033-07-07', 'Anthony', 'Morris', '+60-19-9218633', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0035', 'C004', 'DRV886939T', DATE '2034-09-05', 'Antonio', 'Hoffman', '+60-12-4420881', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0036', 'C008', 'DRV212790S', DATE '2033-09-06', 'Michael', 'Fowler', '+60-18-6459308', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0037', 'C004', 'DRV811494T', DATE '2029-06-05', 'Nicole', 'Barnes', '+60-11-8551701', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0038', 'C008', 'DRV216543I', DATE '2029-02-01', 'Nathan', 'Young', '+60-16-1742471', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0039', 'C006', 'DRV796968P', DATE '2027-12-22', 'Mallory', 'Burton', '+60-14-5924348', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0040', 'C006', 'DRV483761I', DATE '2035-06-19', 'Paul', 'Torres', '+60-17-9689916', 'inactive');
