-- Bus
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0001', 'C020', 'K3320A', 'Mercedes-Benz OC500', 50, 'inactive', 2006, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0002', 'C015', 'P9001A', 'Isuzu LV423R', 44, 'under_maintenance', 2008, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0003', 'C005', 'K5693B', 'Mercedes-Benz OC500', 50, 'under_maintenance', 2017, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0004', 'C014', 'K5486C', 'Isuzu LV423R', 40, 'active', 2011, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0005', 'C005', 'P4766C', 'Mercedes-Benz OC500', 48, 'under_maintenance', 2022, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0006', 'C002', 'K9314B', 'MAN A95', 44, 'retired', 2008, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0007', 'C009', 'K7747C', 'Hino RK8', 48, 'inactive', 2000, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0008', 'C018', 'P3336B', 'Hino RK8', 48, 'under_maintenance', 2019, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0009', 'C012', 'P2265C', 'Volvo B11R', 44, 'inactive', 2006, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0010', 'C018', 'W8834B', 'MAN A95', 40, 'inactive', 2008, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0011', 'C008', 'W9385C', 'Isuzu LV423R', 50, 'under_maintenance', 2010, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0012', 'C009', 'K6272B', 'Volvo B11R', 44, 'retired', 2013, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0013', 'C015', 'W4893C', 'MAN A95', 50, 'active', 2018, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0014', 'C008', 'J9611E', 'Volvo B11R', 40, 'retired', 2008, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0015', 'C007', 'B6333E', 'Volvo B11R', 40, 'inactive', 2008, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0016', 'C009', 'W5762D', 'Hino RK8', 40, 'under_maintenance', 2023, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0017', 'C002', 'P9939B', 'Hino RK8', 48, 'retired', 2016, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0018', 'C008', 'K2498B', 'Scania K410', 52, 'under_maintenance', 2003, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0019', 'C001', 'B7842D', 'Volvo B11R', 52, 'active', 2001, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0020', 'C006', 'J9090A', 'Scania K410', 40, 'retired', 2009, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0021', 'C016', 'J6566A', 'Mercedes-Benz OC500', 48, 'retired', 2018, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0022', 'C014', 'B5009C', 'MAN A95', 52, 'under_maintenance', 2011, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0023', 'C003', 'J1026E', 'MAN A95', 40, 'under_maintenance', 2020, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0024', 'C016', 'K1375D', 'Isuzu LV423R', 45, 'retired', 2016, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0025', 'C005', 'J7595D', 'Scania K410', 52, 'under_maintenance', 2000, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0026', 'C009', 'W9206D', 'Scania K410', 40, 'under_maintenance', 2011, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0027', 'C003', 'J9056E', 'MAN A95', 52, 'retired', 2003, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0028', 'C016', 'P1642C', 'MAN A95', 45, 'inactive', 2005, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0029', 'C017', 'B6528E', 'MAN A95', 40, 'retired', 2014, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0030', 'C004', 'W3672C', 'MAN A95', 40, 'under_maintenance', 2021, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0031', 'C012', 'J3179D', 'Volvo B11R', 48, 'retired', 2006, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0032', 'C014', 'J4259D', 'Mercedes-Benz OC500', 52, 'active', 2008, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0033', 'C002', 'J4380E', 'Scania K410', 40, 'inactive', 2018, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0034', 'C008', 'K5972B', 'Hino RK8', 50, 'inactive', 2016, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0035', 'C010', 'W7914B', 'MAN A95', 45, 'inactive', 2014, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0036', 'C007', 'W4070D', 'Mercedes-Benz OC500', 50, 'retired', 2003, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0037', 'C009', 'K6892C', 'Mercedes-Benz OC500', 40, 'under_maintenance', 2005, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0038', 'C010', 'W8438A', 'Hino RK8', 50, 'inactive', 2015, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0039', 'C008', 'J7819D', 'Scania K410', 48, 'retired', 2020, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0040', 'C005', 'K5049A', 'Volvo B11R', 50, 'inactive', 2016, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0041', 'C020', 'J7037D', 'Scania K410', 40, 'retired', 2015, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0042', 'C002', 'P4351D', 'Scania K410', 45, 'under_maintenance', 2020, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0043', 'C002', 'B3126E', 'Volvo B11R', 48, 'retired', 2005, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0044', 'C007', 'P6819A', 'Scania K410', 44, 'inactive', 2004, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0045', 'C004', 'W4152E', 'Volvo B11R', 50, 'active', 2010, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0046', 'C013', 'K3824E', 'MAN A95', 48, 'inactive', 2025, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0047', 'C010', 'B6298B', 'Mercedes-Benz OC500', 48, 'retired', 2021, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0048', 'C018', 'B2244C', 'Volvo B11R', 48, 'inactive', 2021, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0049', 'C006', 'B2911A', 'Scania K410', 50, 'active', 2025, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0050', 'C015', 'B6873B', 'Mercedes-Benz OC500', 45, 'inactive', 2010, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0051', 'C011', 'J2282C', 'Hino RK8', 48, 'active', 2001, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0052', 'C003', 'J1547D', 'MAN A95', 52, 'retired', 2008, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0053', 'C001', 'P6490B', 'Isuzu LV423R', 48, 'retired', 2022, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0054', 'C020', 'P1839E', 'Isuzu LV423R', 48, 'under_maintenance', 2021, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0055', 'C010', 'J4749E', 'MAN A95', 48, 'retired', 2013, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0056', 'C002', 'P9304A', 'Scania K410', 44, 'under_maintenance', 2017, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0057', 'C009', 'P1522C', 'Isuzu LV423R', 45, 'retired', 2009, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0058', 'C019', 'K3665A', 'Mercedes-Benz OC500', 45, 'retired', 2025, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0059', 'C010', 'W3411D', 'Scania K410', 50, 'active', 2005, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0060', 'C007', 'J1631C', 'Mercedes-Benz OC500', 45, 'inactive', 2017, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0061', 'C007', 'B1235E', 'Hino RK8', 50, 'inactive', 2019, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0062', 'C018', 'K9057E', 'Scania K410', 48, 'under_maintenance', 2004, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0063', 'C014', 'B4909C', 'Isuzu LV423R', 44, 'active', 2013, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0064', 'C019', 'W8281B', 'Scania K410', 44, 'retired', 2016, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0065', 'C005', 'W7327E', 'Hino RK8', 40, 'inactive', 2020, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0066', 'C016', 'P3745C', 'MAN A95', 52, 'under_maintenance', 2025, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0067', 'C016', 'K7865C', 'MAN A95', 50, 'under_maintenance', 2001, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0068', 'C013', 'B6371E', 'Scania K410', 52, 'under_maintenance', 2023, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0069', 'C012', 'W3734D', 'Mercedes-Benz OC500', 50, 'under_maintenance', 2011, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0070', 'C016', 'K2902B', 'Volvo B11R', 50, 'under_maintenance', 2015, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0071', 'C002', 'K2667A', 'Isuzu LV423R', 50, 'active', 2003, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0072', 'C020', 'B8654B', 'Hino RK8', 45, 'retired', 2020, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0073', 'C004', 'B1215B', 'Mercedes-Benz OC500', 40, 'inactive', 2001, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0074', 'C017', 'W7897C', 'Hino RK8', 44, 'active', 2007, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0075', 'C003', 'K5141A', 'MAN A95', 50, 'inactive', 2017, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0076', 'C008', 'W5196E', 'Scania K410', 44, 'inactive', 2016, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0077', 'C017', 'W4603A', 'MAN A95', 44, 'inactive', 2020, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0078', 'C006', 'B8652C', 'Mercedes-Benz OC500', 50, 'inactive', 2024, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0079', 'C012', 'K7868D', 'Hino RK8', 45, 'active', 2009, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0080', 'C002', 'K1093D', 'Scania K410', 50, 'active', 2001, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0081', 'C006', 'K6996C', 'Isuzu LV423R', 40, 'retired', 2025, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0082', 'C014', 'B6992E', 'Isuzu LV423R', 44, 'under_maintenance', 2009, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0083', 'C019', 'B7822A', 'Volvo B11R', 40, 'retired', 2016, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0084', 'C006', 'W7302C', 'MAN A95', 50, 'under_maintenance', 2024, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0085', 'C004', 'J2463D', 'MAN A95', 50, 'under_maintenance', 2003, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0086', 'C016', 'B4271E', 'MAN A95', 44, 'under_maintenance', 2015, 'Operational bus');
